var1,var2,group,type,spatial
rich_tree_sgof_patch,I(rich_tree_sgof_patch^2),taxonomic properties,macrohabitat,tree
lg_alpha_spl_tall,I(lg_alpha_spl_tall^2),taxonomic properties,macrohabitat,sapling
lg_alpha_spl_short,I(lg_alpha_spl_short^2),taxonomic properties,microhabitat,sapling
lg_alpha_spl_total,I(lg_alpha_spl_total^2),taxonomic properties,macrohabitat,sapling
gamma_herb,I(gamma_herb^2),taxonomic properties,microhabitat,herb
gamma_shrub,I(gamma_shrub^2),taxonomic properties,macrohabitat,shrub
gamma_tree,I(gamma_tree^2),taxonomic properties,macrohabitat,tree
gamma_total,I(gamma_total^2),taxonomic properties,macrohabitat,all
mean_alpha_herb,I(mean_alpha_herb^2),taxonomic properties,microhabitat,herb
mean_alpha_shrub,I(mean_alpha_shrub^2),taxonomic properties,macrohabitat,shrub
mean_alpha_tree,I(mean_alpha_tree^2),taxonomic properties,macrohabitat,tree
mean_alpha_total,I(mean_alpha_total^2),taxonomic properties,macrohabitat,all
beta_herb,I(beta_herb^2),taxonomic properties,microhabitat,herb
beta_shrub,I(beta_shrub^2),taxonomic properties,macrohabitat,shrub
beta_tree,I(beta_tree^2),taxonomic properties,macrohabitat,tree
beta_total,I(beta_total^2),taxonomic properties,macrohabitat,all
tree_mixed_dom,I(tree_mixed_dom^2),taxonomic properties,macrohabitat,tree
tree_fagus_dom,I(tree_fagus_dom^2),taxonomic properties,macrohabitat,tree
tree_fagus_part_patch,I(tree_fagus_part_patch^2),taxonomic properties,macrohabitat,tree
tree_quercus_dom_patch,I(tree_quercus_dom_patch^2),taxonomic properties,macrohabitat,tree
tree_quercus_part_patch,I(tree_quercus_part_patch^2),taxonomic properties,macrohabitat,tree
tree_populus_dom_patch,I(tree_populus_dom_patch^2),taxonomic properties,macrohabitat,tree
tree_populus_part_patch,I(tree_populus_part_patch^2),taxonomic properties,macrohabitat,tree
tree_betula_dom_patch,I(tree_betula_dom_patch^2),taxonomic properties,macrohabitat,tree
tree_betula_part_patch,I(tree_betula_part_patch^2),taxonomic properties,macrohabitat,tree
tree_alnus_dom_patch,I(tree_alnus_dom_patch^2),taxonomic properties,macrohabitat,tree
tree_alnus_part_patch,I(tree_alnus_part_patch^2),taxonomic properties,macrohabitat,tree
tree_prunus_dom_patch,I(tree_prunus_dom_patch^2),taxonomic properties,macrohabitat,tree
tree_prunus_part_patch,I(tree_prunus_part_patch^2),taxonomic properties,macrohabitat,tree
tree_fraxinus_dom_patch,I(tree_fraxinus_dom_patch^2),taxonomic properties,macrohabitat,tree
tree_fraxinus_part_patch,I(tree_fraxinus_part_patch^2),taxonomic properties,macrohabitat,tree
tree_acer_dom_patch,I(tree_acer_dom_patch^2),taxonomic properties,macrohabitat,tree
tree_acer_part_patch,I(tree_acer_part_patch^2),taxonomic properties,macrohabitat,tree
tree_tilia_dom_patch,I(tree_tilia_dom_patch^2),taxonomic properties,macrohabitat,tree
tree_tilia_part_patch,I(tree_tilia_part_patch^2),taxonomic properties,macrohabitat,tree
tree_ulmus_dom_patch,I(tree_ulmus_dom_patch^2),taxonomic properties,macrohabitat,tree
tree_ulmus_part_patch,I(tree_ulmus_part_patch^2),taxonomic properties,macrohabitat,tree
tree_carpinus_dom_patch,I(tree_carpinus_dom_patch^2),taxonomic properties,macrohabitat,tree
tree_carpinus_part_patch,I(tree_carpinus_part_patch^2),taxonomic properties,macrohabitat,tree
tree_larix_dom_patch,I(tree_larix_dom_patch^2),taxonomic properties,macrohabitat,tree
tree_larix_part_patch,I(tree_larix_part_patch^2),taxonomic properties,macrohabitat,tree
